CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
34,0.33201581,0.40441989,0.0,0.0,0.26086957,1.0,0.0,0.18181818,84.0
35,0.33823529,0.47572816,0.01075269,0.0,0.41176471,0.94117647,2.369e-05,0.0625,46.0
36,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
37,0.57142857,0.64705882,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
38,0.49090909,0.34146341,0.14285714,0.0,0.36363636,0.90909091,0.00032872,0.2,3.0
39,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
40,1.0,0.0,0.33333333,0.0,0.0,0.0,0.00020016,1.0,1.0
41,0.73333333,0.58064516,0.3125,0.0,0.0,1.0,0.00066827,0.6,1.1
42,0.73333333,0.58064516,0.3125,0.0,0.0,1.0,0.00066827,0.6,1.1
43,0.8,0.72972973,0.0,0.0,0.0,1.0,0.0,0.6,12.0
44,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
45,0.75555556,0.75,0.0,0.0,0.8,1.0,0.0,0.55555556,34.0
46,0.67857143,0.75949367,0.05,0.0,0.25,1.0,0.00010032,0.28571429,9.5
47,0.23655914,0.3950495,0.0,0.0,0.48387097,0.90322581,0.0,0.03333333,110.0
48,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
49,0.30666667,0.35732984,0.0,0.0,0.56,1.0,0.0,0.125,92.0
50,0.50909091,0.61313869,0.23287671,0.18181818,0.45454545,0.90909091,0.00062091,0.2,1.64705882
51,1.0,0.0,0.84615385,1.0,0.0,0.0,0.00220176,1.0,0.09090909
52,0.6,0.67164179,0.01492537,0.0,0.45454545,1.0,3.652e-05,0.2,33.0
53,0.2987013,0.38341969,0.0,0.0,0.40909091,0.90909091,0.0,0.14285714,69.0
54,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
55,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
56,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
57,0.63888889,0.69230769,0.0212766,0.0,0.33333333,1.0,4.461e-05,0.375,23.0
58,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
59,1.0,1.0,0.25,0.0,0.0,1.0,0.00040064,1.0,1.5
60,0.36666667,0.4873817,0.0887574,0.0,0.47619048,1.0,0.00028813,0.15,5.13333333
61,0.80555556,0.8313253,0.0,0.0,0.66666667,1.0,0.0,0.5,29.0
62,0.80952381,0.81428571,0.0,0.0,0.42857143,1.0,0.0,0.5,17.0
63,0.54545455,0.67741935,0.0,0.0,0.5,0.91666667,0.0,0.09090909,36.0
64,0.77777778,0.78440367,0.0,0.0,0.9,1.0,0.0,0.55555556,35.0
65,0.71428571,0.69767442,0.0,0.0,0.375,1.0,0.0,0.42857143,20.0
66,0.54545455,0.6,0.0,0.0,0.45454545,1.0,0.0,0.2,30.0
67,0.82142857,0.82300885,0.0,0.0,0.625,1.0,0.0,0.57142857,23.0
68,0.47252747,0.58361775,0.11340206,0.07142857,0.35714286,1.0,0.00031606,0.23076923,3.90909091
69,0.61904762,0.6,0.21212121,0.0,0.0,0.85714286,0.00040112,0.33333333,1.85714286
70,0.39705882,0.49723757,0.0,0.0,0.52941176,0.94117647,0.0,0.0625,54.0
71,0.29487179,0.46987952,0.14814815,0.0,0.15384615,0.61538462,0.00024744,0.08333333,2.875
72,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
73,0.57777778,0.73880597,0.0,0.0,0.5,1.0,0.0,0.22222222,26.0
74,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
75,0.70909091,0.73228346,0.0,0.0,0.72727273,1.0,0.0,0.5,39.0
76,0.71428571,0.67058824,0.0,0.0,0.25,1.0,0.0,0.42857143,20.0
77,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
78,0.32163743,0.39087948,0.09836066,0.0,0.52631579,0.94736842,0.00025457,0.11111111,4.58333333
79,0.51648352,0.55397727,0.0,0.0,0.35714286,1.0,0.0,0.30769231,47.0
80,0.71428571,0.70909091,0.0,0.0,0.28571429,1.0,0.0,0.33333333,15.0
81,0.57777778,0.64615385,0.0,0.0,0.4,1.0,0.0,0.22222222,26.0
82,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
83,0.57142857,0.64390244,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
84,0.66666667,0.64285714,0.0,0.0,0.0,1.0,0.0,0.4,10.0
85,0.27248677,0.41529526,0.0,0.0,0.39285714,1.0,0.0,0.11111111,103.0
86,0.55555556,0.73333333,0.24528302,0.0,0.33333333,0.77777778,0.00057987,0.125,1.53846154
87,0.46969697,0.58441558,0.12676056,0.0,0.41666667,1.0,0.00030145,0.18181818,3.44444444
88,0.66666667,0.66071429,0.0,0.0,0.7,1.0,0.0,0.22222222,30.0
89,0.63636364,0.68835616,0.0,0.0,0.58333333,1.0,0.0,0.36363636,42.0
90,0.6043956,0.67205543,0.0,0.0,0.64285714,1.0,0.0,0.38461538,55.0
91,0.40935673,0.48686244,0.15662651,0.0,0.31578947,1.0,0.00055156,0.11111111,2.69230769
92,1.0,0.0,1.0,1.0,0.0,0.0,0.00080032,1.0,0.0
93,0.24242424,0.36314572,0.0,0.0,0.39393939,1.0,0.0,0.09375,128.0
94,0.47272727,0.72115385,0.07142857,0.0,0.27272727,1.0,0.0001461,0.2,6.5
95,0.61538462,0.68219178,0.07692308,0.0,0.46153846,1.0,0.00024744,0.25,6.0
96,0.85714286,0.85714286,0.0,0.0,0.42857143,1.0,0.0,0.66666667,18.0
97,0.24338624,0.39669421,0.0,0.0,0.35714286,0.96428571,0.0,0.03703704,92.0
98,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
99,0.49450549,0.43772242,0.0,0.0,0.57142857,1.0,0.0,0.23076923,45.0
100,0.75,0.74193548,0.0,0.0,0.375,1.0,0.0,0.57142857,21.0
101,0.67272727,0.72413793,0.01333333,0.0,0.63636364,1.0,3.652e-05,0.4,37.0
102,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
103,0.23188406,0.42975207,0.05185185,0.04166667,0.29166667,0.95833333,0.0001178,0.08695652,9.14285714
104,0.71428571,0.73584906,0.46428571,0.42857143,0.0,1.0,0.00148989,0.33333333,0.57692308
105,0.44852941,0.54320988,0.14084507,0.0,0.47058824,1.0,0.00047381,0.1875,3.05
106,0.30797101,0.44254658,0.11458333,0.04166667,0.5,1.0,0.00037022,0.17391304,3.86363636
107,0.80952381,0.79411765,0.0,0.0,0.28571429,1.0,0.0,0.66666667,17.0
108,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
109,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
110,0.60714286,0.64615385,0.0,0.0,0.25,1.0,0.0,0.28571429,17.0
111,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
112,0.4,0.44776119,0.26530612,0.1,0.2,0.9,0.00052209,0.11111111,1.38461538
113,1.0,1.0,0.02325581,0.0,1.0,1.0,5.73e-05,1.0,21.0
114,0.46666667,0.57320099,0.0,0.0,0.5,1.0,0.0,0.2,56.0
115,0.80555556,0.80981595,0.04918033,0.0,0.77777778,1.0,0.00013382,0.625,9.66666667
116,0.61818182,0.63076923,0.0,0.0,0.45454545,1.0,0.0,0.4,34.0
117,0.18319328,0.20829315,0.0,0.0,0.34285714,0.65714286,0.0,0.05882353,109.0
118,0.16809117,0.24107143,0.0,0.0,0.14814815,0.88888889,0.0,0.03846154,59.0
119,0.6,0.6,0.55555556,0.6,0.0,1.0,0.0012024,0.5,0.4
120,0.25,0.3849734,0.01492537,0.0,0.39393939,1.0,4.913e-05,0.09375,33.0
121,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
122,0.41904762,0.55785124,0.0,0.0,0.4,1.0,0.0,0.28571429,44.0
123,0.56363636,0.46296296,0.0,0.0,0.36363636,1.0,0.0,0.3,31.0
124,0.51648352,0.62616822,0.0,0.0,0.5,1.0,0.0,0.23076923,47.0
125,0.32900433,0.35800604,0.07317073,0.0,0.36363636,1.0,0.00022012,0.14285714,6.33333333
126,0.46666667,0.5331565,0.0,0.0,0.33333333,1.0,0.0,0.21428571,49.0
127,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
128,0.66666667,0.71900826,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
129,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
130,0.9047619,0.90697674,0.0,0.0,0.57142857,1.0,0.0,0.66666667,19.0
131,1.0,0.0,1.0,1.0,0.0,0.0,0.00160064,1.0,0.0
132,0.66666667,0.58695652,0.24324324,0.0,0.14285714,1.0,0.00051573,0.5,1.55555556
133,0.50909091,0.60902256,0.0,0.0,0.27272727,0.90909091,0.0,0.1,28.0
134,0.27272727,0.42211055,0.0,0.0,0.26086957,0.95652174,0.0,0.04545455,69.0
135,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
136,0.82142857,0.83478261,0.0,0.0,0.625,1.0,0.0,0.57142857,23.0
137,1.0,0.0,1.0,1.0,0.0,0.0,0.00040016,1.0,0.0
138,0.4952381,0.57407407,0.0,0.0,0.8,1.0,0.0,0.35714286,52.0
139,1.0,0.0,1.0,1.0,0.0,0.0,0.00120048,1.0,0.0
140,0.52727273,0.52258065,0.03333333,0.0,0.36363636,1.0,7.305e-05,0.3,14.5
141,0.75,0.7755102,0.0,0.0,0.44444444,1.0,0.0,0.5,27.0
142,0.40522876,0.50823529,0.04615385,0.0,0.55555556,1.0,0.0001343,0.23529412,10.33333333
143,0.65151515,0.65753425,0.0,0.0,0.58333333,1.0,0.0,0.45454545,43.0
144,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
145,0.42222222,0.55932203,0.07317073,0.0,0.0,1.0,0.00012048,0.22222222,6.33333333
146,0.37894737,0.46223565,0.0,0.0,0.35,1.0,0.0,0.15789474,72.0
147,0.44166667,0.57142857,0.01851852,0.0,0.5625,0.9375,5.032e-05,0.06666667,26.5
148,0.35789474,0.4882227,0.0,0.0,0.55,1.0,0.0,0.15789474,68.0
149,0.6,0.54545455,0.58139535,0.66666667,0.0,1.0,0.00167068,0.4,0.36
150,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
151,0.70909091,0.73828125,0.0,0.0,0.63636364,1.0,0.0,0.5,39.0
152,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
153,0.57142857,0.6,0.0,0.0,0.25,1.0,0.0,0.28571429,16.0
154,0.55238095,0.64383562,0.0,0.0,0.8,1.0,0.0,0.35714286,58.0
155,0.39166667,0.56722689,0.0,0.0,0.6875,1.0,0.0,0.26666667,47.0
156,0.85714286,0.84615385,0.0,0.0,0.57142857,1.0,0.0,0.66666667,18.0
157,0.66666667,0.58333333,0.0,0.0,0.44444444,1.0,0.0,0.5,24.0
158,0.42690058,0.53506098,0.0,0.0,0.47368421,1.0,0.0,0.16666667,73.0
159,0.44444444,0.63829787,0.0,0.0,0.11111111,1.0,0.0,0.25,16.0
160,0.4,0.0,0.11111111,0.0,0.0,0.0,8.016e-05,0.25,4.0
161,0.50833333,0.58974359,0.0,0.0,0.625,1.0,0.0,0.26666667,61.0
162,0.27339901,0.3801214,0.0,0.0,0.31034483,1.0,0.0,0.10714286,111.0
163,0.66666667,0.0,0.2,0.0,0.0,0.0,0.00013349,0.5,2.0
164,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
165,0.9047619,0.90697674,0.0,0.0,0.57142857,1.0,0.0,0.66666667,19.0
166,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
167,0.80952381,0.82608696,0.17073171,0.0,0.28571429,1.0,0.00040112,0.5,2.42857143
168,0.58333333,0.85714286,0.0,0.0,0.44444444,0.77777778,0.0,0.125,21.0
169,0.61818182,0.68571429,0.0,0.0,0.54545455,1.0,0.0,0.3,34.0
170,0.475,0.55980861,0.0,0.0,0.5625,1.0,0.0,0.26666667,57.0
171,0.76190476,0.75,0.11111111,0.0,0.14285714,1.0,0.00022921,0.5,4.0
172,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
173,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
174,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00013349,1.0,3.0
175,0.86666667,0.86666667,0.13333333,0.0,0.0,1.0,0.00026731,0.6,3.25
176,1.0,1.0,0.25,0.0,0.0,1.0,0.00040064,1.0,1.5
177,0.35714286,0.42032967,0.0,0.0,0.28571429,1.0,0.0,0.15,75.0
178,0.62121212,0.66666667,0.0,0.0,0.58333333,1.0,0.0,0.36363636,41.0
179,0.63888889,0.64705882,0.0,0.0,0.33333333,1.0,0.0,0.5,23.0
180,1.0,0.0,1.0,1.0,0.0,0.0,0.00040016,1.0,0.0
181,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
182,0.8,0.78947368,0.23809524,0.0,0.0,1.0,0.0004008,0.5,1.6
183,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
184,0.85714286,0.82894737,0.02702703,0.0,0.28571429,1.0,5.73e-05,0.66666667,18.0
185,0.36842105,0.49263158,0.0,0.0,0.47368421,1.0,0.0,0.11111111,63.0
186,1.0,0.0,0.75,1.0,0.0,0.0,0.00120096,1.0,0.16666667
187,0.66666667,0.78,0.17647059,0.0,0.14285714,0.85714286,0.00034382,0.16666667,2.33333333
188,0.73333333,0.6,0.04347826,0.0,0.0,1.0,6.683e-05,0.6,11.0
189,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
190,0.60714286,0.75,0.0,0.0,0.25,0.875,0.0,0.14285714,17.0
191,0.51515152,0.56521739,0.18072289,0.0,0.33333333,1.0,0.00050241,0.27272727,2.26666667
192,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
193,0.63636364,0.67431193,0.0,0.0,0.54545455,1.0,0.0,0.4,35.0
194,0.8,0.78947368,0.40740741,0.2,0.0,1.0,0.00088176,0.5,0.72727273
195,0.71428571,0.79120879,0.35483871,0.125,0.375,1.0,0.00110353,0.28571429,0.90909091
196,0.61818182,0.69587629,0.0,0.0,0.45454545,1.0,0.0,0.4,34.0
197,0.58974359,0.65830721,0.0,0.0,0.69230769,1.0,0.0,0.33333333,46.0
198,0.66666667,0.57692308,0.0,0.0,0.0,1.0,0.0,0.4,10.0
199,0.71111111,0.73404255,0.0,0.0,0.5,1.0,0.0,0.44444444,32.0
200,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
201,0.77777778,0.75,0.0,0.0,0.66666667,1.0,0.0,0.625,28.0
202,0.7,0.6,0.22222222,0.0,0.0,1.0,0.00032064,0.5,1.75
203,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
204,0.83333333,0.84745763,0.0,0.0,0.66666667,1.0,0.0,0.625,30.0
205,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
206,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
207,0.36842105,0.45859873,0.0,0.0,0.42105263,0.94736842,0.0,0.11111111,63.0
208,0.72727273,0.76923077,0.0,0.0,0.72727273,1.0,0.0,0.5,40.0
209,0.68181818,0.70588235,0.0,0.0,0.5,1.0,0.0,0.45454545,45.0
210,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
211,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
212,0.86666667,0.81818182,0.25714286,0.0,0.0,1.0,0.00060144,0.8,1.44444444
213,1.0,0.0,1.0,1.0,0.0,0.0,0.0020008,1.0,0.0
214,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
215,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
216,0.75,0.68478261,0.0,0.0,0.5,1.0,0.0,0.57142857,21.0
217,0.64444444,0.69677419,0.0,0.0,0.6,1.0,0.0,0.33333333,29.0
218,1.0,0.0,0.5,0.0,0.0,0.0,0.00040032,1.0,0.5
219,0.48484848,0.59638554,0.0,0.0,0.41666667,0.91666667,0.0,0.09090909,32.0
220,0.66666667,0.62068966,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
221,1.0,0.0,1.0,1.0,0.0,0.0,0.00080032,1.0,0.0
222,0.78571429,0.8,0.0,0.0,0.5,1.0,0.0,0.42857143,22.0
223,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
224,0.18518519,0.2462203,0.0,0.0,0.22222222,0.77777778,0.0,0.03846154,65.0
225,0.62121212,0.68327402,0.0,0.0,0.5,1.0,0.0,0.27272727,41.0
226,0.76190476,0.76190476,0.0,0.0,0.42857143,1.0,0.0,0.5,16.0
227,0.66666667,0.69230769,0.0,0.0,0.0,1.0,0.0,0.4,10.0
228,0.83333333,0.75,0.44444444,0.0,0.0,1.0,0.00080128,0.66666667,0.625
229,0.69444444,0.72,0.0,0.0,0.55555556,1.0,0.0,0.375,25.0
230,0.85714286,0.88461538,0.2173913,0.14285714,0.42857143,1.0,0.00057303,0.5,1.8
231,1.0,1.0,0.04761905,0.0,0.0,1.0,8.016e-05,1.0,10.0
232,0.66666667,0.76595745,0.06666667,0.0,0.14285714,1.0,0.00011461,0.33333333,7.0
233,0.39705882,0.49541284,0.0,0.0,0.35294118,0.94117647,0.0,0.0625,54.0
234,1.0,1.0,0.66666667,1.0,0.0,1.0,0.00160192,1.0,0.25
235,0.5,0.58787879,0.0,0.0,0.4375,1.0,0.0,0.2,60.0
236,0.425,0.4871134,0.20930233,0.0,0.3125,1.0,0.00067935,0.2,1.88888889
237,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
238,0.57142857,0.375,0.14285714,0.0,0.0,0.85714286,0.00022921,0.33333333,3.0
239,0.33333333,0.0,0.81818182,1.0,0.0,0.0,0.00120144,0.0,0.11111111
240,0.66666667,0.6,0.57894737,0.5,0.0,0.75,0.00110176,0.33333333,0.36363636
241,0.66666667,0.66666667,0.0,0.0,0.0,1.0,0.0,0.4,10.0
242,0.80555556,0.82142857,0.14705882,0.0,0.66666667,1.0,0.00044605,0.5,2.9
243,0.85714286,0.82894737,0.0,0.0,0.28571429,1.0,0.0,0.66666667,18.0
244,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
245,0.61111111,0.71134021,0.04347826,0.0,0.33333333,1.0,8.921e-05,0.25,11.0
246,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
247,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
248,0.6969697,0.76363636,0.0,0.0,0.75,1.0,0.0,0.45454545,46.0
249,0.75,0.72631579,0.25,0.125,0.5,1.0,0.00070225,0.42857143,1.5
250,0.78571429,0.79245283,0.0,0.0,0.5,1.0,0.0,0.57142857,22.0
251,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
252,0.72222222,0.72727273,0.2,0.11111111,0.55555556,1.0,0.00057987,0.5,2.0
253,0.80952381,0.76119403,0.0,0.0,0.14285714,1.0,0.0,0.66666667,17.0
254,0.71428571,0.69767442,0.0,0.0,0.25,1.0,0.0,0.57142857,20.0
255,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
256,0.73333333,0.67741935,0.0,0.0,0.0,1.0,0.0,0.6,11.0
257,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
258,0.85714286,0.82894737,0.02702703,0.0,0.28571429,1.0,5.73e-05,0.66666667,18.0
259,0.85714286,0.85365854,0.11111111,0.0,0.625,1.0,0.00030096,0.71428571,4.0
260,0.425,0.52242744,0.0,0.0,0.375,1.0,0.0,0.13333333,51.0
261,0.38970588,0.50886076,0.0,0.0,0.47058824,1.0,0.0,0.125,53.0
262,0.31620553,0.51674641,0.0,0.0,0.52173913,1.0,0.0,0.13636364,80.0
263,0.66666667,0.68852459,0.21311475,0.0,0.44444444,1.0,0.00057987,0.375,1.84615385
264,0.60606061,0.67588933,0.0,0.0,0.75,1.0,0.0,0.27272727,40.0
